📚 Total unique words to fetch: 3097
   C1: 2757
   C2: 340
   (skipped 4955 Oxford 5000 words)

🚀 Fetching 3097 words...
  [1497/3097] grandeur... ❌ not found
  [1498/3097] grandiloquent... ❌ not found
  [1499/3097] grandiose... ❌ not found
  [1500/3097] grandstand... ❌ not found
  [1501/3097] grate... ❌ not found
  [1502/3097] gratify... ❌ not found
  [1503/3097] gratuitous... ✅ C1
  [1504/3097] gravel... ✅ C1
  [1505/3097] grieve... ✅ C1
  [1506/3097] grimace... ✅ C1
  [1507/3097] gripe... ✅ C1
  [1508/3097] grisly... ✅ C1
  [1509/3097] groove... ✅ C1
  [1510/3097] grotesque... ✅ C1
  [1511/3097] grotto... ✅ C1
  [1512/3097] grove... ✅ C1
  [1513/3097] grueling... ✅ C1
  [1514/3097] guile... ✅ C1
  [1515/3097] gullible... ✅ C1
  [1516/3097] gully... ✅ C1
  [1517/3097] gum... ✅ C1
  [1518/3097] gush... ✅ C1
  [1519/3097] gust... ✅ C1
  [1520/3097] guzzle... ✅ C1
  [1521/3097] habitable... ✅ C1
  [1522/3097] hack... ✅ C1
  [1523/3097] halcyon... ✅ C2
  [1524/3097] hale... ✅ C1
  [1525/3097] half-baked... ✅ C1
  [1526/3097] hallmark... ✅ C1
  [1527/3097] hallow... ✅ C1
  [1528/3097] hallucination... ✅ C1
  [1529/3097] ham-handed... ✅ C1
  [1530/3097] hammer... ✅ C1
  [1531/3097] hamstring... ✅ C1
  [1532/3097] hangdog... ✅ C1
  [1533/3097] hankering... ✅ C1
  [1534/3097] harass... ✅ C1
  [1535/3097] harbinger... ✅ C1
  [1536/3097] harbor... ✅ C1
  [1537/3097] hard-bitten... ✅ C1
  [1538/3097] hardy... ✅ C1
  [1539/3097] harmonious... ✅ C1
  [1540/3097] harness... ✅ C1
  [1541/3097] harp... ✅ C1
  [1542/3097] harrow... ✅ C1
  [1543/3097] harry... ✅ C1
  [1544/3097] hasten... ✅ C1
  [1545/3097] hasty... ✅ C1
  [1546/3097] hatch... ✅ C1
  [1547/3097] hauteur... ✅ C2
  [1548/3097] haven... ✅ C1
  [1549/3097] havoc... ✅ C1
  [1550/3097] headlong... ✅ C1
  [1551/3097] hearken... ✅ C1
  [1552/3097] hearten... ✅ C1
  [1553/3097] heartrending... ✅ C1
  [1554/3097] hedonism... ✅ C1
  [1555/3097] heinous... ✅ C1
  [1556/3097] heirloom... ✅ C1
  [1557/3097] hem... ✅ C1
  [1558/3097] hew... ✅ C1
  [1559/3097] herald... ✅ C1
  [1560/3097] herbicide... ✅ C1
  [1561/3097] heresy... ✅ C1
  [1562/3097] heretical... ✅ C1
  [1563/3097] hermetic... ✅ C1
  [1564/3097] hermit... ✅ C1
  [1565/3097] herpetologist... ❌ not found
  [1566/3097] hesitance... ✅ C1
  [1567/3097] heterodox... ✅ C1
  [1568/3097] hidebound... ✅ C1
  [1569/3097] hideous... ✅ C1
  [1570/3097] hie... ✅ C1
  [1571/3097] hieroglyph... ✅ C1
  [1572/3097] hike... ✅ C1
  [1573/3097] histrionic... ✅ C2
  [1574/3097] hive... ✅ C1
  [1575/3097] hoard... ✅ C1
  [1576/3097] hoary... ✅ C2
  [1577/3097] hoax... ✅ C1
  [1578/3097] homage... ✅ C1
  [1579/3097] homely... ✅ C1
  [1580/3097] homily... ✅ C1
  [1581/3097] homogenize... ✅ C1
  [1582/3097] hone... ✅ C1
  [1583/3097] honorarium... ✅ C1
  [1584/3097] hoodwink... ✅ C2
  [1585/3097] hortative... ❌ not found
  [1586/3097] horticulture... ✅ C1
  [1587/3097] hovel... ✅ C1
  [1588/3097] hub... ✅ C1
  [1589/3097] hubris... ✅ C2
  [1590/3097] humility... ✅ C1
  [1591/3097] humor... ✅ C1
  [1592/3097] husbandry... ✅ C1
  [1593/3097] husk... ✅ C1
  [1594/3097] husky... ✅ C1
  [1595/3097] hybrid... ✅ C1
  [1596/3097] hymn... ✅ C1
  [1597/3097] hyperbole... ✅ C1
  [1598/3097] hypnotic... ✅ C1
  [1599/3097] hypocritical... ✅ C1
  [1600/3097] ichthyologist... ❌ not found
  [1601/3097] idolatrize... ❌ not found
  [1602/3097] idyll... ✅ C1
  [1603/3097] ignite... ✅ C1
  [1604/3097] ignominy... ✅ C1
  [1605/3097] illiteracy... ✅ C1
  [1606/3097] illuminati... ❌ not found
  [1607/3097] illumination... ✅ C1
  [1608/3097] illusory... ✅ C1
  [1609/3097] imbibe... ✅ C2
  [1610/3097] imbroglio... ✅ C2
  [1611/3097] imitation... ✅ C1
  [1612/3097] immaculate... ✅ C1
  [1613/3097] immanent... ✅ C1
  [1614/3097] immature... ✅ C1
  [1615/3097] immemorial... ✅ C1
  [1616/3097] immure... ✅ C2
  [1617/3097] imp... ✅ C1
  [1618/3097] impassive... ✅ C1
  [1619/3097] impecunious... ✅ C2
  [1620/3097] impend... ✅ C1
  [1621/3097] impenetrable... ✅ C1
  [1622/3097] impenitent... ✅ C1
  [1623/3097] imperative... ✅ C1
  [1624/3097] imperial... ✅ C1
  [1625/3097] imperious... ✅ C2
  [1626/3097] impertinence... ✅ C1
  [1627/3097] imperturbable... ✅ C1
  [1628/3097] impervious... ✅ C2
  [1629/3097] impetuous... ✅ C2
  [1630/3097] impiety... ✅ C1
  [1631/3097] implode... ✅ C1
  [1632/3097] imposing... ✅ C1
  [1633/3097] importune... ✅ C1
  [1634/3097] impostor... ✅ C1
  [1635/3097] impotent... ✅ C1
  [1636/3097] imprecise... ✅ C1
  [1637/3097] impresario... ✅ C1
  [1638/3097] impromptu... ✅ C1
  [1639/3097] improvise... ✅ C1
  [1640/3097] impugn... ✅ C2
  [1641/3097] impuissance... ❌ not found
  [1642/3097] inalienable... ✅ C1
  [1643/3097] inane... ✅ C1
  [1644/3097] inanimate... ✅ C1
  [1645/3097] inaugurate... ✅ C1
  [1646/3097] incandescent... ✅ C1
  [1647/3097] incantation... ✅ C1
  [1648/3097] incarnate... ✅ C1
  [1649/3097] incendiary... ✅ C1
  [1650/3097] inception... ✅ C1
  [1651/3097] inchoate... ✅ C2
  [1652/3097] incinerate... ✅ C1
  [1653/3097] incipient... ✅ C1
  [1654/3097] incite... ✅ C1
  [1655/3097] incogitant... ❌ not found
  [1656/3097] incongruent... ✅ C1
  [1657/3097] inconsequential... ✅ C1
  [1658/3097] incontrovertible... ✅ C2
  [1659/3097] incriminate... ✅ C1
  [1660/3097] incubator... ✅ C1
  [1661/3097] inculpate... ✅ C1
  [1662/3097] incursion... ✅ C1
  [1663/3097] indelible... ✅ C1
  [1664/3097] indemnity... ✅ C1
  [1665/3097] indifferent... ✅ C1
  [1666/3097] indigent... ✅ C2
  [1667/3097] indispensable... ✅ C1
  [1668/3097] indoctrinate... ✅ C1
  [1669/3097] indolent... ✅ C1
  [1670/3097] inducement... ✅ C1
  [1671/3097] indulgent... ✅ C1
  [1672/3097] indurate... ✅ C1
  [1673/3097] industriousness... ❌ not found
  [1674/3097] ineffable... ✅ C2
  [1675/3097] ineluctable... ✅ C2
  [1676/3097] inept... ✅ C1
  [1677/3097] inert... ✅ C1
  [1678/3097] inexorable... ✅ C1
  [1679/3097] infamy... ✅ C1
  [1680/3097] infatuate... ✅ C1
  [1681/3097] inferno... ✅ C1
  [1682/3097] infiltrate... ✅ C1
  [1683/3097] infinite... ✅ C1
  [1684/3097] infirm... ✅ C1
  [1685/3097] inflame... ✅ C1
  [1686/3097] infelicitous... ✅ C2
  [1687/3097] influx... ✅ C1
  [1688/3097] infuse... ✅ C1
  [1689/3097] infuriate... ✅ C1
  [1690/3097] ingenious... ✅ C1
  [1691/3097] ingest... ✅ C1
  [1692/3097] ingrained... ✅ C1
  [1693/3097] ingrate... ✅ C1
  [1694/3097] ingratiating... ✅ C1
  [1695/3097] inimitable... ✅ C2
  [1696/3097] iniquity... ✅ C1
  [1697/3097] inquisitive... ✅ C1
  [1698/3097] insensible... ✅ C1
  [1699/3097] insensitive... ✅ C1
  [1700/3097] insentient... ✅ C1
  [1701/3097] insouciant... ✅ C1
  [1702/3097] instate... ✅ C1
  [1703/3097] instigate... ✅ C1
  [1704/3097] instill... ✅ C1
  [1705/3097] instrumentalist... ✅ C1
  [1706/3097] insubordinate... ✅ C1
  [1707/3097] insular... ✅ C1
  [1708/3097] insulate... ✅ C1
  [1709/3097] insurgent... ✅ C1
  [1710/3097] intangible... ✅ C1
  [1711/3097] intelligible... ✅ C1
  [1712/3097] intemperate... ✅ C1
  [1713/3097] inter... ✅ C1
  [1714/3097] intercessor... ✅ C1
  [1715/3097] interdict... ✅ C1
  [1716/3097] interlock... ✅ C1
  [1717/3097] interminable... ✅ C1
  [1718/3097] interregnum... ✅ C1
  [1719/3097] interrogate... ✅ C1
  [1720/3097] intimidate... ✅ C1
  [1721/3097] intoxicant... ✅ C1
  [1722/3097] intrigue... ✅ C1
  [1723/3097] intrinsic... ✅ C1
  [1724/3097] intuitive... ✅ C1
  [1725/3097] inure... ✅ C2
  [1726/3097] invective... ✅ C2
  [1727/3097] inveigh... ✅ C1
  [1728/3097] inveigle... ✅ C1
  [1729/3097] inventory... ✅ C1
  [1730/3097] invidious... ✅ C2
  [1731/3097] invigorate... ✅ C1
  [1732/3097] invincible... ✅ C1
  [1733/3097] irate... ✅ C1
  [1734/3097] iridescence... ❌ not found
  [1735/3097] ironclad... ✅ C1
  [1736/3097] irradicable... ❌ not found
  [1737/3097] irreducible... ✅ C1
  [1738/3097] irrigate... ✅ C1
  [1739/3097] irritate... ✅ C1
  [1740/3097] isthmus... ✅ C1
  [1741/3097] itinerary... ✅ C1
  [1742/3097] jabber... ✅ C1
  [1743/3097] jaded... ✅ C1
  [1744/3097] jape... ✅ C1
  [1745/3097] jarring... ✅ C1
  [1746/3097] jaundice... ✅ C2
  [1747/3097] jaunty... ✅ C1
  [1748/3097] jejune... ✅ C2
  [1749/3097] jest... ✅ C1
  [1750/3097] jeopardy... ✅ C1
  [1751/3097] jettison... ✅ C1
  [1752/3097] jibe... ✅ C1
  [1753/3097] jingoist... ❌ not found
  [1754/3097] jitter... ✅ C1
  [1755/3097] jocund... ✅ C1
  [1756/3097] jog... ✅ C1
  [1757/3097] jolt... ✅ C1
  [1758/3097] jot... ✅ C1
  [1759/3097] judicious... ✅ C1
  [1760/3097] juggernaut... ✅ C2
  [1761/3097] kangaroo... ✅ C1
  [1762/3097] ken... ✅ C1
  [1763/3097] kindle... ✅ C1
  [1764/3097] kindred... ✅ C1
  [1765/3097] knack... ✅ C1
  [1766/3097] knave... ✅ C1
  [1767/3097] knead... ✅ C1
  [1768/3097] knit... ✅ C1
  [1769/3097] knotty... ✅ C1
  [1770/3097] kudos... ✅ C1
  [1771/3097] labile... ✅ C1
  [1772/3097] labored... ✅ C1
  [1773/3097] labyrinth... ✅ C1
  [1774/3097] lacerate... ✅ C2
  [1775/3097] lackluster... ✅ C1
  [1776/3097] lachrymose... ✅ C2
  [1777/3097] lambaste... ✅ C1
  [1778/3097] lament... ✅ C1
  [1779/3097] lamentable... ✅ C1
  [1780/3097] laminate... ✅ C1
  [1781/3097] lampoon... ✅ C2
  [1782/3097] landfill... ✅ C1
  [1783/3097] languish... ✅ C2
  [1784/3097] languor... ✅ C1
  [1785/3097] lank... ✅ C1
  [1786/3097] lapse... ✅ C1
  [1787/3097] larder... ✅ C1
  [1788/3097] largesse... ✅ C1
  [1789/3097] lariat... ✅ C1
  [1790/3097] lash... ✅ C1
  [1791/3097] lassitude... ✅ C1
  [1792/3097] latent... ✅ C1
  [1793/3097] lathe... ✅ C1
  [1794/3097] latitude... ✅ C1
  [1795/3097] laudatory... ✅ C1
  [1796/3097] lavish... ✅ C1
  [1797/3097] leaven... ✅ C1
  [1798/3097] leer... ✅ C1
  [1799/3097] legion... ✅ C1
  [1800/3097] lenient... ❌ not found
  [1801/3097] levee... ❌ not found
  [1802/3097] levelheaded... ❌ not found
  [1803/3097] levity... ❌ not found
  [1804/3097] lexicographer... ❌ not found
  [1805/3097] liability... ❌ not found
  [1806/3097] liberalist... ❌ not found
  [1807/3097] libertine... ❌ not found
  [1808/3097] libretto... ❌ not found
  [1809/3097] licentious... ❌ not found
  [1810/3097] lien... ❌ not found
  [1811/3097] liken... ❌ not found
  [1812/3097] limber... ❌ not found
  [1813/3097] limerick... ❌ not found
  [1814/3097] limousine... ❌ not found
  [1815/3097] limp... ❌ not found
  [1816/3097] limpid... ❌ not found
  [1817/3097] linen... ❌ not found
  [1818/3097] linoleum... ❌ not found
  [1819/3097] lint... ❌ not found
  [1820/3097] lissome... ❌ not found
  [1821/3097] lithe... ❌ not found
  [1822/3097] loath... ❌ not found
  [1823/3097] loathe... ❌ not found
  [1824/3097] locomotive... ❌ not found
  [1825/3097] lode... ❌ not found
  [1826/3097] lofty... ❌ not found
  [1827/3097] loll... ❌ not found
  [1828/3097] lopsided... ❌ not found
  [1829/3097] loquacious... ❌ not found
  [1830/3097] loutish... ✅ C1
  [1831/3097] lubricate... ✅ C1
  [1832/3097] lucubration... ✅ C1
  [1833/3097] lug... ✅ C1
  [1834/3097] lugubrious... ✅ C2
  [1835/3097] lull... ✅ C1
  [1836/3097] lullaby... ✅ C1
  [1837/3097] lumber... ✅ C1
  [1838/3097] lumen... ✅ C1
  [1839/3097] luminary... ✅ C1
  [1840/3097] lurch... ✅ C1
  [1841/3097] lurk... ✅ C1
  [1842/3097] lush... ✅ C1
  [1843/3097] lustrous... ✅ C1
  [1844/3097] macerate... ✅ C1
  [1845/3097] maculate... ✅ C1
  [1846/3097] maelstrom... ✅ C1
  [1847/3097] malaise... ✅ C1
  [1848/3097] malcontent... ✅ C1
  [1849/3097] malicious... ✅ C1
  [1850/3097] malign... ✅ C1
  [1851/3097] malinger... ✅ C1
  [1852/3097] malodor... ✅ C1
  [1853/3097] mangle... ✅ C1
  [1854/3097] mangy... ✅ C1
  [1855/3097] mania... ✅ C1
  [1856/3097] mannered... ✅ C1
  [1857/3097] manumit... ✅ C1
  [1858/3097] mar... ✅ C1
  [1859/3097] marsh... ✅ C1
  [1860/3097] marsupial... ✅ C1
  [1861/3097] martinet... ✅ C2
  [1862/3097] marvel... ✅ C1
  [1863/3097] masquerade... ✅ C1
  [1864/3097] mash... ✅ C1
  [1865/3097] masticate... ✅ C1
  [1866/3097] mastery... ✅ C1
  [1867/3097] matriculate... ✅ C1
  [1868/3097] mattress... ✅ C1
  [1869/3097] maudlin... ✅ C2
  [1870/3097] maven... ✅ C1
  [1871/3097] meager... ✅ C1
  [1872/3097] measly... ✅ C1
  [1873/3097] measured... ✅ C1
  [1874/3097] meddle... ✅ C1
  [1875/3097] mediate... ✅ C1
  [1876/3097] mediocre... ✅ C1
  [1877/3097] medley... ✅ C1
  [1878/3097] meek... ✅ C1
  [1879/3097] meliorism... ✅ C1
  [1880/3097] mellifluous... ✅ C2
  [1881/3097] melodrama... ✅ C1
  [1882/3097] membrane... ✅ C1
  [1883/3097] menace... ✅ C1
  [1884/3097] mendacious... ✅ C1
  [1885/3097] mercenary... ✅ C1
  [1886/3097] merited... ✅ C1
  [1887/3097] mesh... ✅ C1
  [1888/3097] mesmerism... ✅ C1
  [1889/3097] metaphorm... ❌ not found
  [1890/3097] metaphysics... ✅ C1
  [1891/3097] metamorphose... ✅ C1
  [1892/3097] meteoric... ✅ C2
  [1893/3097] meteorology... ✅ C1
  [1894/3097] methodical... ✅ C1
  [1895/3097] metrical... ✅ C1
  [1896/3097] mettle... ✅ C1
  [1897/3097] miff... ✅ C1
  [1898/3097] migratory... ✅ C1
  [1899/3097] mime... ✅ C1
  [1900/3097] mimicry... ✅ C1
  [1901/3097] minaret... ✅ C1
  [1902/3097] minatory... ✅ C1
  [1903/3097] mince... ✅ C1
  [1904/3097] mingle... ✅ C1
  [1905/3097] minion... ✅ C1
  [1906/3097] mint... ✅ C1
  [1907/3097] minuscule... ✅ C1
  [1908/3097] minutia... ✅ C1
  [1909/3097] mirage... ✅ C1
  [1910/3097] mire... ✅ C1
  [1911/3097] mirth... ✅ C1
  [1912/3097] misbehave... ✅ C1
  [1913/3097] mischievous... ✅ C1
  [1914/3097] misdemeanor... ✅ C1
  [1915/3097] misfortune... ✅ C1
  [1916/3097] misgiving... ✅ C1
  [1917/3097] mishap... ✅ C1
  [1918/3097] misrepresent... ✅ C1
  [1919/3097] mite... ✅ C1
  [1920/3097] mnemonics... ✅ C1
  [1921/3097] mockery... ✅ C1
  [1922/3097] modicum... ✅ C2
  [1923/3097] molar... ✅ C1
  [1924/3097] molding... ✅ C1
  [1925/3097] mollycoddle... ✅ C1
  [1926/3097] molt... ✅ C1
  [1927/3097] momentous... ✅ C1
  [1928/3097] mongrel... ✅ C1
  [1929/3097] monochromatic... ✅ C1
  [1930/3097] monocle... ✅ C1
  [1931/3097] monologue... ✅ C1
  [1932/3097] monotonous... ✅ C1
  [1933/3097] montage... ✅ C1
  [1934/3097] moratorium... ✅ C1
  [1935/3097] morbid... ✅ C1
  [1936/3097] mordant... ✅ C2
  [1937/3097] moribund... ✅ C2
  [1938/3097] mortar... ✅ C1
  [1939/3097] mosaic... ✅ C1
  [1940/3097] moth-eaten... ✅ C1
  [1941/3097] motile... ✅ C1
  [1942/3097] motley... ✅ C1
  [1943/3097] mottle... ✅ C1
  [1944/3097] motto... ✅ C1
  [1945/3097] mournful... ✅ C1
  [1946/3097] muddy... ✅ C1
  [1947/3097] muffler... ✅ C1
  [1948/3097] mulish... ✅ C1
  [1949/3097] mumble... ✅ C1
  [1950/3097] mural... ✅ C1
  [1951/3097] murky... ✅ C1
  [1952/3097] murmur... ✅ C1
  [1953/3097] musket... ✅ C1
  [1954/3097] mutate... ✅ C1
  [1955/3097] mute... ✅ C1
  [1956/3097] mutter... ✅ C1
  [1957/3097] nadir... ✅ C2
  [1958/3097] naive... ✅ C1
  [1959/3097] narcissism... ✅ C1
  [1960/3097] nascent... ✅ C1
  [1961/3097] natty... ✅ C1
  [1962/3097] nauseate... ✅ C1
  [1963/3097] nautical... ✅ C1
  [1964/3097] naysaying... ✅ C1
  [1965/3097] nebulous... ✅ C1
  [1966/3097] needy... ✅ C1
  [1967/3097] nefarious... ✅ C1
  [1968/3097] negation... ✅ C1
  [1969/3097] negligence... ✅ C1
  [1970/3097] neologism... ✅ C1
  [1971/3097] neophyte... ✅ C1
  [1972/3097] nepotism... ✅ C1
  [1973/3097] nettle... ✅ C1
  [1974/3097] neutralize... ✅ C1
  [1975/3097] nicety... ✅ C1
  [1976/3097] nexus... ✅ C1
  [1977/3097] nibble... ✅ C1
  [1978/3097] nil... ✅ C1
  [1979/3097] nip... ✅ C1
  [1980/3097] nitpick... ✅ C1
  [1981/3097] nocturnal... ✅ C1
  [1982/3097] noisome... ✅ C2
  [1983/3097] nomad... ✅ C1
  [1984/3097] nominal... ✅ C1
  [1985/3097] nonchalant... ✅ C2
  [1986/3097] nondescript... ✅ C1
  [1987/3097] nonentity... ✅ C1
  [1988/3097] nonplus... ✅ C1
  [1989/3097] notch... ✅ C1
  [1990/3097] noxious... ✅ C1
  [1991/3097] nucleate... ✅ C1
  [1992/3097] nudge... ✅ C1
  [1993/3097] nugatory... ✅ C1
  [1994/3097] nurture... ✅ C1
  [1995/3097] oasis... ✅ C1
  [1996/3097] oath... ✅ C1
  [1997/3097] obedient... ✅ C1
  [1998/3097] obeisance... ✅ C1
  [1999/3097] obfuscate... ✅ C1
  [2000/3097] obituary... ✅ C1
  [2001/3097] obligatory... ✅ C1
  [2002/3097] oblique... ✅ C2
  [2003/3097] obliterate... ✅ C1
  [2004/3097] oblivious... ✅ C1
  [2005/3097] obloquy... ✅ C1
  [2006/3097] observatory... ✅ C1
  [2007/3097] obstreperous... ✅ C2
  [2008/3097] obstruct... ✅ C1
  [2009/3097] obtuse... ✅ C2
  [2010/3097] obviate... ✅ C1
  [2011/3097] occult... ✅ C1
  [2012/3097] ode... ✅ C1
  [2013/3097] odium... ✅ C1
  [2014/3097] offbeat... ✅ C1
  [2015/3097] offhand... ✅ C1
  [2016/3097] officious... ✅ C2
  [2017/3097] offish... ❌ not found
  [2018/3097] off-key... ✅ C1
  [2019/3097] olfaction... ✅ C1
  [2020/3097] ominous... ✅ C1
  [2021/3097] omniscient... ✅ C1
  [2022/3097] onerous... ✅ C1
  [2023/3097] opine... ✅ C1
  [2024/3097] opportune... ✅ C1
  [2025/3097] opprobrious... ✅ C1
  [2026/3097] oracle... ✅ C1
  [2027/3097] oration... ✅ C1
  [2028/3097] orient... ✅ C1
  [2029/3097] ornithology... ✅ C1
  [2030/3097] orthodox... ✅ C1
  [2031/3097] oscillate... ✅ C1
  [2032/3097] ossify... ✅ C2
  [2033/3097] oust... ✅ C1
  [2034/3097] outgoing... ✅ C1
  [2035/3097] outlandish... ✅ C1
  [2036/3097] outmaneuver... ✅ C1
  [2037/3097] outset... ✅ C1
  [2038/3097] outwit... ✅ C1
  [2039/3097] overbearing... ✅ C1
  [2040/3097] overlap... ✅ C1
  [2041/3097] overt... ✅ C1
  [2042/3097] overture... ✅ C1
  [2043/3097] oxymoron... ✅ C1
  [2044/3097] pachyderm... ✅ C1
  [2045/3097] pacify... ✅ C1
  [2046/3097] padding... ✅ C1
  [2047/3097] paean... ✅ C1
  [2048/3097] painstaking... ✅ C1
  [2049/3097] palatable... ✅ C2
  [2050/3097] palatial... ✅ C1
  [2051/3097] palette... ✅ C1
  [2052/3097] pall... ✅ C1
  [2053/3097] palliate... ✅ C1
  [2054/3097] pallid... ✅ C1
  [2055/3097] palmy... ✅ C1
  [2056/3097] palpable... ✅ C1
  [2057/3097] palter... ✅ C1
  [2058/3097] paltry... ✅ C1
  [2059/3097] pancreas... ✅ C1
  [2060/3097] pandemic... ✅ C1
  [2061/3097] pandemonium... ✅ C1
  [2062/3097] panegyric... ✅ C2
  [2063/3097] panoramic... ✅ C1
  [2064/3097] pantry... ✅ C1
  [2065/3097] parable... ✅ C1
  [2066/3097] paradigm... ✅ C1
  [2067/3097] paradise... ✅ C1
  [2068/3097] paradox... ✅ C1
  [2069/3097] paragon... ✅ C2
  [2070/3097] paramount... ✅ C1
  [2071/3097] paranoia... ✅ C1
  [2072/3097] paraphrase... ✅ C1
  [2073/3097] parasite... ✅ C1
  [2074/3097] parch... ✅ C1
  [2075/3097] parenthesis... ✅ C1
  [2076/3097] pariah... ✅ C2
  [2077/3097] parity... ✅ C1
  [2078/3097] parlance... ✅ C1
  [2079/3097] parody... ✅ C1
  [2080/3097] paroxysm... ✅ C1
  [2081/3097] parquetry... ✅ C1
  [2082/3097] parrot... ✅ C1
  [2083/3097] parry... ✅ C1
  [2084/3097] parse... ✅ C1
  [2085/3097] parsimony... ✅ C1
  [2086/3097] particularize... ✅ C1
  [2087/3097] partisan... ✅ C1
  [2088/3097] pastiche... ✅ C1
  [2089/3097] partition... ✅ C1
  [2090/3097] pathology... ✅ C1
  [2091/3097] patina... ✅ C1
  [2092/3097] patrician... ✅ C1
  [2093/3097] patriot... ✅ C1
  [2094/3097] paunchy... ✅ C1
  [2095/3097] pebble... ✅ C1
  [2096/3097] peccadillo... ✅ C1
  [2097/3097] peck... ✅ C1
  [2098/3097] pedagogue... ✅ C1
  [2099/3097] pedant... ✅ C1
  [2100/3097] pedestal... ✅ C1
  [2101/3097] predestine... ✅ C1
  [2102/3097] pediatrics... ✅ C1
  [2103/3097] peep... ✅ C1
  [2104/3097] peeve... ✅ C1
  [2105/3097] pelf... ✅ C1
  [2106/3097] pellucid... ✅ C2
  [2107/3097] penchant... ✅ C1
  [2108/3097] penitent... ✅ C1
  [2109/3097] pensive... ✅ C1
  [2110/3097] penury... ✅ C1
  [2111/3097] perambulate... ✅ C1
  [2112/3097] perceptible... ✅ C1
  [2113/3097] peremptory... ✅ C2
  [2114/3097] perfervid... ✅ C1
  [2115/3097] perforate... ✅ C1
  [2116/3097] perfunctory... ✅ C2
  [2117/3097] perimeter... ✅ C1
  [2118/3097] periodical... ✅ C1
  [2119/3097] peripatetic... ✅ C2
  [2120/3097] peripheral... ✅ C1
  [2121/3097] perish... ✅ C1
  [2122/3097] perjury... ✅ C1
  [2123/3097] permanence... ✅ C1
  [2124/3097] permeable... ✅ C1
  [2125/3097] peroration... ✅ C1
  [2126/3097] perpetual... ✅ C1
  [2127/3097] persecute... ✅ C1
  [2128/3097] persevere... ✅ C1
  [2129/3097] persiflage... ✅ C1
  [2130/3097] persistence... ✅ C1
  [2131/3097] personable... ✅ C1
  [2132/3097] perspicacious... ❌ not found
  [2133/3097] perspicuity... ❌ not found
  [2134/3097] pertain... ❌ not found
  [2135/3097] pertinacious... ❌ not found
  [2136/3097] pervade... ❌ not found
  [2137/3097] pessimism... ❌ not found
  [2138/3097] pesticide... ❌ not found
  [2139/3097] pestle... ❌ not found
  [2140/3097] petrify... ❌ not found
  [2141/3097] petrograph... ❌ not found
  [2142/3097] petty... ❌ not found
  [2143/3097] phenomenal... ❌ not found
  [2144/3097] philanthropic... ❌ not found
  [2145/3097] philatelist... ❌ not found
  [2146/3097] philistine... ❌ not found
  [2147/3097] phlegmatic... ❌ not found
  [2148/3097] piddling... ❌ not found
  [2149/3097] piebald... ❌ not found
  [2150/3097] pigment... ❌ not found
  [2151/3097] pilfer... ❌ not found
  [2152/3097] pillar... ❌ not found
  [2153/3097] pillory... ❌ not found
  [2154/3097] pinpoint... ❌ not found
  [2155/3097] pique... ❌ not found
  [2156/3097] pitiless... ❌ not found
  [2157/3097] pixel... ❌ not found
  [2158/3097] placebo... ❌ not found
  [2159/3097] plagiarize... ❌ not found
  [2160/3097] plangent... ❌ not found
  [2161/3097] plantation... ❌ not found
  [2162/3097] plasticity... ✅ C1
  [2163/3097] plateau... ✅ C1
  [2164/3097] plausible... ✅ C1
  [2165/3097] pleat... ✅ C1
  [2166/3097] plentitude... ✅ C1
  [2167/3097] plethora... ✅ C1
  [2168/3097] pliable... ✅ C1
  [2169/3097] pliant... ✅ C1
  [2170/3097] plight... ✅ C1
  [2171/3097] pluck... ✅ C1
  [2172/3097] plumb... ✅ C1
  [2173/3097] plummet... ✅ C1
  [2174/3097] plump... ✅ C1
  [2175/3097] plutocracy... ✅ C1
  [2176/3097] podiatrist... ✅ C1
  [2177/3097] polarize... ✅ C1
  [2178/3097] polished... ✅ C1
  [2179/3097] politic... ✅ C1
  [2180/3097] pollster... ✅ C1
  [2181/3097] pompous... ✅ C1
  [2182/3097] ponderable... ✅ C1
  [2183/3097] ponderous... ✅ C2
  [2184/3097] pontificate... ✅ C2
  [2185/3097] porcelain... ✅ C1
  [2186/3097] pore... ✅ C1
  [2187/3097] porous... ✅ C1
  [2188/3097] portentous... ✅ C2
  [2189/3097] poseur... ✅ C1
  [2190/3097] postulate... ✅ C1
  [2191/3097] posture... ✅ C1
  [2192/3097] potable... ✅ C1
  [2193/3097] potboiler... ✅ C1
  [2194/3097] potentate... ✅ C1
  [2195/3097] potentiate... ✅ C1
  [2196/3097] pout... ✅ C1
  [2197/3097] prairie... ✅ C1
  [2198/3097] prate... ✅ C1
  [2199/3097] precipice... ✅ C1
  [2200/3097] precipitate... ✅ C2
  [2201/3097] precipitation... ✅ C1
  [2202/3097] precursor... ✅ C1
  [2203/3097] preeminent... ✅ C1
  [2204/3097] preen... ✅ C1
  [2205/3097] preface... ✅ C1
  [2206/3097] premeditate... ✅ C1
  [2207/3097] preoccupation... ✅ C1
  [2208/3097] preponderant... ✅ C1
  [2209/3097] prepossessing... ✅ C1
  [2210/3097] preposterous... ✅ C1
  [2211/3097] presage... ✅ C1
  [2212/3097] preservative... ✅ C1
  [2213/3097] prestige... ✅ C1
  [2214/3097] pretense... ✅ C1
  [2215/3097] preternatural... ✅ C1
  [2216/3097] prevalent... ✅ C1
  [2217/3097] primordial... ✅ C1
  [2218/3097] primp... ✅ C1
